System,Teff,M_A,R_A,Period,aAU,M_b,R_b,Teq
WASP-182,5638,1.076,1.34,3.377,0.0451,47.0344,9.527565,1479.0
WASP-183,5313,0.784,0.871,4.112,0.04632,159.53560000000002,16.477083,1111.0
WASP-184,6000,1.23,1.65,5.182,0.0627,181.146,14.907837,1480.0
WASP-185,5900,1.12,1.5,9.388,0.0904,311.444,14.011125,1160.0
WASP-189,8000,2.031,2.365,2.724,0.0504,632.422,17.93424,2641.0
WASP-190,6400,1.35,1.6,5.368,0.0663,317.8,12.890234999999999,1500.0
WASP-192,5900,1.09,1.32,2.879,0.0408,730.9399999999999,13.786947,1620.0
Wendelstein-1,4251,0.65,0.61,2.663,0.0282,187.502,11.556375899999999,1727.0
Wendelstein-2,4591,0.73,0.66,1.752,0.0234,231.994,12.9911151,1852.0
Wolf_503,4716,0.688,0.689,6.001,0.05706,6.26066,2.04338247,790.0
WTS-1,6250,1.2,1.15,3.352,0.047,1274.378,16.701261,1500.0
WTS-2,5000,0.82,0.752,1.019,0.01855,355.93600000000004,15.2777307,2000.0
XO-1,5740,1.018,0.93,3.942,0.04914,288.2446,13.4394711,1204.0
XO-2,5332,0.96,0.998,2.616,0.03616,189.7266,11.421869099999999,1328.0
XO-3,6471,1.219,1.371,3.192,0.0455,3788.176,13.6636491,1714.0
XO-4,6397,1.293,1.554,4.125,0.05485,513.2470000000001,14.762121299999999,1641.0
XO-5,5370,1.038,1.129,4.188,0.05148,378.182,12.800563799999999,1225.0
XO-6,6720,1.47,1.93,3.765,0.0725,638.7779999999999,23.314512,1641.0
XO-7,6250,1.405,1.48,2.864,0.04421,225.3202,15.3898197,1743.0
