System,Teff,M_A,R_A,Period,aAU,M_b,R_b,Teq
HD_080606,5584,1.018,1.037,111.437,0.4603,1323.3509800000002,11.5675848,405.0
HD_080653,6022,1.18,1.22,0.72,0.0166,5.593280000000001,1.61296071,3167.0
HD_086226c,5863,1.019,1.053,3.984,0.049,7.24584,2.1633177,1311.0
HD_088986,5861,1.25,1.543,147.4,0.58,17.1612,2.4883758,460.0
HD_093963b,5987,1.109,1.043,1.039,0.02085,7.945,1.3495515599999999,2042.0
HD_093963c,5987,1.109,1.043,3.645,0.04813,19.068,3.2281631999999996,1344.0
HD_095338,5212,0.83,0.87,55.086,0.262,42.426300000000005,3.8894882999999996,385.0
HD_097658,5170,0.77,0.746,9.49,0.08,7.817880000000001,2.24738445,757.0
HD_106315b,6364,1.154,1.269,9.554,0.0924,10.487400000000001,2.3987046,1153.0
HD_106315c,6364,1.154,1.269,21.058,0.1565,12.0764,4.3826799,886.0
HD_110067b,5266,0.798,0.788,9.114,0.0793,5.68862,2.20030707,800.0
HD_110067d,5266,0.798,0.788,20.52,0.1362,8.5806,2.85154416,602.0
HD_110067f,5266,0.798,0.788,41.059,0.2163,5.021240000000001,2.6004648,489.0
HD_110113,5732,0.997,0.968,2.541,0.035,4.5445400000000005,2.0512287,1371.0
HD_118203,5692,1.257,2.103,6.135,0.0708,690.5794000000001,12.6996837,1496.0
HD_119130,5725,1.0,1.09,16.984,0.13,24.4706,2.6340915,795.0
HD_135694,5710,0.9,1.05,15.923,0.12,5.68862,2.5107936,815.0
HD_136352b,5664,0.876,1.054,11.578,0.0963,4.67166,1.64322474,905.0
HD_136352c,5664,0.876,1.054,27.592,0.1717,11.21834,2.85266505,677.0
HD_136352d,5664,0.876,1.054,107.245,0.4243,8.64416,2.50743093,431.0
HD_137496,5799,1.04,1.59,1.621,0.02732,4.03606,1.3114413,2130.0
HD_149026,6147,1.345,1.541,2.876,0.04313,116.9504,9.1128357,1634.0
HD_183579,5788,1.031,0.985,17.471,0.1334,20.402759999999997,3.49045146,752.0
HD_189733,4969,0.783,0.784,2.219,0.03142,365.46999999999997,12.9014439,1191.0
HD_191939b,5427,0.92,0.945,8.88,0.0804,10.0107,3.40974738,880.0
HD_191939c,5427,0.92,0.945,28.581,0.1752,8.008560000000001,3.1945365,600.0
HD_191939d,5427,0.92,0.945,38.356,0.2132,2.7966400000000005,2.99501808,540.0
HD_202772,6272,1.72,2.591,3.309,0.05208,323.20259999999996,17.3177505,2132.0
HD_207496,4819,0.8,0.769,6.441,0.0629,6.0382,2.2529889,743.0
HD_207897,5070,0.8,0.779,16.202,0.1163,14.39634,2.50070559,632.0
HD_209458,6117,1.148,1.162,3.525,0.04747,226.9092,15.468281999999999,1459.0
HD_212729b,6146,1.204,1.264,9.14,0.09103,16.906959999999998,2.8694784,1135.0
HD_213885,5978,1.068,1.1101,1.008,0.0568,8.83484,1.74522573,1265.0
HD_219134b,4699,0.81,0.778,3.093,0.03876,4.73522,1.6017518099999999,1015.0
HD_219134c,4699,0.81,0.778,6.765,0.0653,4.35386,1.51095972,782.0
HD_219666,5527,0.92,1.03,6.036,0.0636,16.589160000000003,4.707738,1073.0
HD_260655b,3803,0.439,0.439,2.77,0.02933,2.12926,1.23970434,709.0
HD_260655c,3803,0.439,0.439,5.706,0.04749,2.76486,1.53337752,557.0
HD_271181,6495,1.435,1.648,4.231,0.058,387.716,16.690052100000003,1669.0
HD_332231,6089,1.127,1.277,18.721,0.1436,79.76780000000001,9.7181163,876.0
HIP_00065,4590,0.781,0.7242,0.981,0.01782,1021.0914,22.754067,1411.0
HIP_08152b,5530,0.91,0.95,10.751,0.092,7.7861,2.5556292000000003,855.0
HIP_08152c,5530,0.91,0.95,19.605,0.138,9.406880000000001,2.4771669,699.0
HIP_09618b,5609,1.022,0.966,20.773,0.1438,9.8518,3.9006971999999998,663.0
HIP_33609,10400,2.38,1.863,39.472,0.3058,21610.4,17.710062,1237.0
HIP_97166,5198,0.898,0.836,10.289,0.089,19.98962,2.7349715999999997,642.0
K2-003b,3844,0.549,0.546,10.054,0.0747,5.11658,2.07813006,501.0
K2-003c,3844,0.549,0.546,24.649,0.1357,2.66952,1.58157579,372.0
K2-018b,3503,0.495,0.469,32.94,0.1591,9.50222,2.7125538,265.0
K2-021b,4043,0.64,0.6,9.324,0.0731,1.5890000000000002,1.5916637999999999,500.0
K2-021c,4043,0.64,0.6,15.501,0.1026,3.8771600000000004,1.9167219000000002,420.0
K2-024b,5625,1.07,1.16,20.89,0.154,18.114600000000003,5.4026898,767.0
K2-024c,5625,1.07,1.16,42.339,0.247,15.38152,7.4987541,606.0
K2-025b,3207,0.2634,0.2932,3.485,0.0287,24.4706,3.4299234,494.0
K2-027b,5248,0.866,0.885,6.771,0.06702,30.826600000000003,4.48356,902.0
K2-029,5358,0.94,0.86,3.259,0.04217,231.994,13.338591,1171.0
K2-030,5582,0.984,0.941,4.099,0.04986,198.625,13.417053300000001,1152.0
K2-032b,5271,0.83,0.86,8.992,0.0795,15.000160000000001,5.3018097,837.0
K2-032c,5271,0.83,0.86,20.656,0.13843,8.1039,3.1384920000000003,634.0
K2-032d,5271,0.83,0.86,31.719,0.18422,6.70558,3.4859679,550.0
K2-032e,5271,0.83,0.86,4.349,0.04899,2.09748,1.21168209,1066.0
K2-034,6131,1.204,1.383,3.0,0.04328,524.0522,13.641231300000001,1670.0
K2-036b,4916,0.79,0.718,1.423,0.0223,3.9089400000000003,1.4347392,1224.0
K2-036c,4916,0.79,0.718,5.341,0.054,7.7861,3.1945365,788.0
K2-038b,5757,1.03,1.06,4.016,0.04994,7.3094,1.5356193,1266.0
K2-038c,5757,1.03,1.06,10.561,0.09514,8.294580000000002,2.2866155999999997,916.0
K2-039,4912,1.192,2.93,4.605,0.0574,39.725,5.7053301,1670.0
K2-055,4300,0.688,0.715,2.849,0.0347,43.85640000000001,4.4275155,900.0
K2-056,5766,0.961,0.928,41.686,0.241,16.2078,2.2305711,546.0
K2-060,5500,0.97,1.12,3.003,0.045,135.3828,7.6556787,1400.0
K2-066,5887,1.01,1.67,5.07,0.05983,21.292600000000004,2.4883758,1372.0
K2-079,5926,1.06,1.269,10.996,0.099,11.7586,4.0912485,1021.0
K2-093b,6320,1.16,1.273,15.571,0.1283,6.896260000000001,2.5948603500000003,959.0
K2-093c,6320,1.16,1.273,31.698,0.2061,4.38564,2.72712537,757.0
K2-093d,6320,1.16,1.273,278.36,0.22,12.0764,9.2025069,294.0
K2-098,6120,1.074,1.311,10.137,0.0943,32.09780000000001,4.259382,1102.0
K2-099,6069,1.44,2.55,18.249,0.153,276.486,11.881434,1184.0
K2-100,5945,1.15,1.24,1.674,0.0301,21.928200000000004,3.8782794,1841.0
K2-106b,5508,0.96,0.98,0.572,0.01332,8.51704,1.7104781400000002,2275.0
K2-106c,5508,0.96,0.98,13.341,0.1088,5.91108,2.7349715999999997,796.0
K2-107,6030,1.3,1.78,3.314,0.048,266.952,16.140816,1780.0
K2-108,5474,1.121,1.75,4.734,0.0573,59.4286,5.279391899999999,1446.0
K2-110,5010,0.738,0.713,13.864,0.1021,16.6845,2.5892559,640.0
K2-111,5775,0.84,1.25,5.351,0.057,5.27548,1.8158418,1309.0
K2-113,5627,1.007,1.047,5.818,0.0575,409.96200000000005,10.424277,1178.0
K2-114,5014,0.832,0.828,11.391,0.09309,587.9300000000001,10.558783799999999,719.0
K2-115,5544,0.831,0.881,20.273,0.1367,266.952,12.4979235,682.0
K2-138b,5350,0.93,0.86,2.353,0.03385,3.11444,1.5132015,1308.0
K2-138c,5350,0.93,0.86,3.56,0.04461,6.292440000000001,2.2978245,1140.0
K2-138d,5350,0.93,0.86,5.405,0.05893,7.91322,2.3874957,992.0
K2-138e,5350,0.93,0.86,8.261,0.0782,12.99802,3.3850878,861.0
K2-138f,5350,0.93,0.86,12.758,0.10447,1.5890000000000002,2.9031051,745.0
K2-138g,5350,0.93,0.86,12.758,0.23109,4.2903,3.0151941,501.0
K2-139,5245,0.883,0.863,28.382,0.179,121.3996,9.0007467,536.0
K2-140,5654,1.005,0.987,6.569,0.0591,323.8382,12.2737455,1114.0
K2-141b,4599,0.706,0.6862,0.28,0.00716,5.14836,1.49302548,2039.0
K2-180,5110,0.71,0.69,8.867,0.075,11.4408,2.24178,729.0
K2-182,5710,0.865,0.793,4.737,0.0526,20.0214,2.690136,969.0
K2-199b,4491,0.711,0.682,3.225,0.0382,6.9916,1.7261705999999999,913.0
K2-199c,4491,0.711,0.682,7.374,0.0662,12.3942,2.8470606,694.0
K2-216,4503,0.7,0.72,2.175,0.028,7.3094,1.7485884,1103.0
K2-229b,5185,0.804,0.781,0.584,0.01288,2.47884,1.19711052,1960.0
K2-232,6154,1.118,1.161,11.168,0.10356,126.48440000000001,11.2089,1030.0
K2-233b,5033,0.79,0.71,2.467,0.03308,2.3835,1.31480397,1121.0
K2-233c,5033,0.79,0.71,7.061,0.06666,4.6081,1.27221015,790.0
K2-233d,5033,0.79,0.71,24.366,0.15224,10.29672,2.36283612,523.0
K2-234,5622,1.324,1.733,11.814,0.1115,38.4538,7.2633672,1068.0
K2-236,6025,1.18,1.38,19.492,0.148,27.013,6.1648950000000005,886.0
K2-237,6099,1.23,1.38,2.181,0.0352,392.80080000000004,18.4050138,1838.0
K2-238,5630,1.19,1.59,3.205,0.046,273.308,14.57157,1587.0
K2-260,6367,1.39,1.69,2.627,0.0404,451.276,17.3962128,1957.0
K2-261,5513,1.105,1.669,11.634,0.10376,56.8862,9.415476,1066.0
K2-263,5372,0.88,0.85,50.819,0.2573,14.80948,2.4099135,470.0
K2-266b,4285,0.686,0.703,0.659,0.01306,11.4408,3.250581,1515.0
K2-266c,4285,0.686,0.703,7.814,0.0679,0.28602,0.7061607,665.0
K2-266d,4285,0.686,0.703,14.697,0.1035,9.534,2.9255229000000003,538.0
K2-266e,4285,0.686,0.703,19.482,0.1249,8.2628,2.7349715999999997,490.0
K2-267,6189,1.317,1.586,6.18,0.07229,953.4000000000001,11.7805539,1401.0
K2-280,5500,1.03,1.28,19.895,0.1461,37.1826,7.4987541,787.0
K2-285b,4975,0.83,0.787,3.472,0.03817,9.6929,2.5892559,1089.0
K2-285c,4975,0.83,0.787,7.138,0.0824,15.667539999999999,3.5308034999999998,741.0
K2-287,5625,1.03,1.1,14.893,0.1204,98.518,9.863832,808.0
K2-290c,6302,1.194,1.511,48.367,0.305,245.9772,11.2761534,676.0
K2-295,4444,0.74,0.7,4.025,0.0467,106.46300000000001,10.0543833,852.0
K2-310b,4542,0.615,0.57,13.603,0.098,9.2162,2.5892559,536.0
K2-310c,4542,0.615,0.57,65.55,0.28,9.534,2.690136,316.0
K2-314b,5430,1.05,1.71,3.595,0.047,8.7395,1.9503485999999999,1616.0
K2-314c,5430,1.05,1.71,15.624,0.13,14.650580000000001,3.6653103000000002,990.0
K2-314d,5430,1.05,1.71,35.747,0.22,10.1696,3.9455327999999996,752.0
K2-329,5282,0.901,0.822,12.455,0.1016,82.628,8.6756886,650.0
KELT-01,6471,1.369,1.501,1.218,0.02494,8803.06,12.755728199999998,2421.0
KELT-02,6151,1.314,1.836,4.114,0.05504,484.3272,14.459481,1712.0
KELT-03,6306,1.278,1.472,2.703,0.04122,469.39060000000006,15.0759705,1811.0
KELT-04,6206,1.201,1.603,2.99,0.04317,286.6556,19.043921100000002,1823.0
KELT-06,6246,1.11,1.34,7.846,0.07939,139.832,11.433078,1313.0
KELT-07,6699,1.517,1.712,2.735,0.0434,406.78400000000005,16.7685144,2028.0
KELT-08,5754,1.211,1.67,3.244,0.04571,275.5326,20.848554,1675.0
KELT-09,9329,2.32,2.418,1.481,0.03368,915.264,21.7004304,3921.0
KELT-10,5948,1.112,1.209,4.166,0.0525,216.104,15.7933401,1377.0
KELT-11,5375,1.44,2.69,4.736,0.06229,65.149,15.132015,1712.0
KELT-15,6003,1.181,1.481,3.329,0.04613,380.0888,17.037528,1904.0
KELT-16,6237,1.195,1.315,0.969,0.02035,861.238,15.5019087,2417.0
KELT-17,7454,1.635,1.645,3.08,0.04881,416.31800000000004,16.891812299999998,2087.0
KELT-18,6670,1.524,1.908,2.872,0.0455,375.004,17.597973,2085.0
KELT-23,5900,0.945,0.995,2.255,0.03303,298.0964,14.818165800000001,1561.0
KELT-24,6508,1.461,1.506,5.552,0.06971,1646.204,14.2577208,1458.0
Kepler-004,5857,1.173,1.48,3.214,0.0449,23.835,4.1248752,1620.0
Kepler-005,6297,1.296,1.544,3.548,0.04967,646.4051999999999,13.551560100000001,1692.0
Kepler-006,5647,1.114,1.261,3.235,0.04438,201.16740000000001,13.103204100000001,1451.0
Kepler-007,5933,1.413,2.028,4.885,0.06324,143.9634,18.4834761,1619.0
Kepler-008,6213,1.23,1.495,3.523,0.0485,187.502,15.4794909,1662.0
Kepler-010b,5708,0.91,1.065,0.837,0.01685,3.7182600000000003,1.46948679,2169.0
Kepler-010c,5708,0.91,1.065,45.294,0.241,7.37296,2.35050633,584.0
Kepler-012,5947,1.157,1.49,4.438,0.0555,136.654,19.1223834,1485.0
Kepler-013,7650,1.72,1.71,1.764,0.04889,1906.8000000000002,15.759713399999999,2750.0
Kepler-014,6395,1.318,2.09,6.79,0.0771,2440.704,12.621221399999998,1605.0
Kepler-015,5595,1.08,1.253,4.943,0.0583,221.1888,14.448272099999999,1251.0
Kepler-016,4450,0.6897,0.6489,221.776,0.7048,105.82740000000001,8.44926882,185.0
Kepler-017,5781,1.066,0.983,1.486,0.02605,743.6519999999999,14.683659,1712.0
Kepler-020b,5495,0.948,0.964,3.696,0.0463,9.6929,1.8685236299999999,1105.0
Kepler-020c,5495,0.948,0.964,10.854,0.0949,12.74378,3.04657902,772.0
Kepler-020d,5495,0.948,0.964,77.612,0.3506,10.1696,2.74393872,401.0
Kepler-021,6305,1.408,1.902,2.786,0.04285,5.0848,1.63874118,2025.0
Kepler-022,5518,0.97,0.979,289.864,0.848,6.9916,2.3987046,262.0
Kepler-036b,5911,1.071,1.626,13.84,0.1153,4.32208,1.4896628099999998,978.0
Kepler-036c,5911,1.071,1.626,16.239,0.1283,7.84966,3.6798818699999996,928.0
Kepler-039,6290,1.2,1.26,21.087,0.162,6038.2,11.993523,853.0
Kepler-040,6510,1.46,2.48,6.873,0.0802,686.4480000000001,16.140816,1744.0
Kepler-041,5750,1.15,1.29,1.856,0.03101,177.96800000000002,14.459481,1790.0
Kepler-043,6041,1.24,1.332,3.024,0.044,982.002,12.4979235,1603.0
Kepler-044,5800,1.12,1.35,3.247,0.0446,317.8,12.217701,1544.0
Kepler-045,3820,0.59,0.624,2.455,0.0314,160.489,12.6996837,787.0
Kepler-046b,5155,0.902,0.938,33.601,0.1971,281.253,9.079209,543.0
Kepler-049b,4097,0.607,0.618,7.204,0.0593,9.75646,2.57916789,495.0
Kepler-049c,4097,0.607,0.618,10.913,0.0782,8.38992,2.4435402,431.0
Kepler-051b,5670,0.985,0.881,45.154,0.2514,3.68648,6.8934735,543.0
Kepler-051c,5670,0.985,0.881,85.314,0.384,4.41742,8.96712,439.0
Kepler-051d,5670,0.985,0.881,130.185,0.509,5.68862,9.460311599999999,381.0
Kepler-052b,4164,0.624,0.63,7.877,0.0637,4.6081,2.39982549,499.0
Kepler-052c,4164,0.624,0.63,16.385,0.1038,15.5722,2.12184477,390.0
Kepler-068b,5793,1.079,1.243,5.399,0.0617,6.0382,2.31015429,1280.0
Kepler-074,6000,1.18,1.12,7.341,0.0781,200.214,10.760544,1078.0
Kepler-075,5200,0.91,0.89,8.885,0.0818,3209.78,11.769345,767.0
Kepler-077,5520,0.95,0.99,3.579,0.04501,136.654,10.760544,1440.0
Kepler-080b,4540,0.73,0.678,7.053,0.0648,2.3835,2.37292413,546.0
Kepler-080c,4540,0.73,0.678,9.522,0.0792,3.40046,2.50743093,494.0
Kepler-082b,5409,0.91,0.898,26.444,0.1683,13.9832,4.0688306999999995,569.0
Kepler-082c,5409,0.91,0.898,51.532,0.2626,20.974800000000002,5.3354364,456.0
Kepler-085b,5505,0.928,0.875,8.306,0.0789,1.84324,1.7777315399999998,814.0
Kepler-085c,5505,0.928,0.875,12.513,0.1037,2.16104,1.97837085,712.0
Kepler-087b,5600,1.1,1.82,114.736,0.481,324.156,13.484306700000001,478.0
Kepler-087c,5600,1.1,1.82,191.232,0.676,6.38778,6.1424772,403.0
Kepler-089b,6182,1.277,1.52,3.743,0.05119,10.487400000000001,1.7149617,1486.0
Kepler-089c,6182,1.277,1.52,10.424,0.1013,15.5722,4.3154265,1012.0
Kepler-089d,6182,1.277,1.52,22.343,0.1684,105.82740000000001,11.264944499999999,806.0
Kepler-089e,6182,1.277,1.52,54.32,0.3046,34.958,6.5572064999999995,584.0
Kepler-093b,5669,0.919,0.911,4.727,0.053,4.0042800000000005,1.4784539099999998,1037.0
Kepler-101b,5667,1.17,1.56,3.488,0.0474,51.165800000000004,5.7725835,1513.0
Kepler-107b,5854,1.238,1.447,3.18,0.04544,3.4958,1.5356193,1593.0
Kepler-107c,5854,1.238,1.447,4.901,0.06064,9.3751,1.59726825,1379.0
Kepler-107e,5854,1.238,1.447,14.749,0.12639,8.5806,2.90198421,955.0
Kepler-117b,6150,1.129,1.606,18.796,0.1445,29.8732,8.059199099999999,984.0
Kepler-117c,6150,1.129,1.606,50.79,0.2804,584.7520000000001,12.340998899999999,704.0
Kepler-128b,6072,1.184,1.659,15.09,0.127,3.7818200000000006,1.4212885199999998,970.0
Kepler-128c,6072,1.184,1.659,22.803,0.167,3.3686800000000003,1.5210477299999998,843.0
Kepler-138b,3841,0.535,0.535,10.312,0.0753,0.06356,0.64002819,452.0
Kepler-138c,3841,0.535,0.535,13.781,0.0913,2.28816,1.5132015,410.0
Kepler-138d,3841,0.535,0.535,23.089,0.1288,2.09748,1.5132015,345.0
Kepler-167e,4830,0.777,0.749,1071.232,1.883,320.978,10.1552634,134.0
Kepler-278b,4965,1.227,2.861,30.161,0.202,57.204,3.9567417,586.0
Kepler-278c,4965,1.227,2.861,51.079,0.287,34.958,3.2729988,492.0
Kepler-305b,5090,0.827,0.792,5.487,0.0586,5.7204,2.82912636,833.0
Kepler-305c,5090,0.827,0.792,8.291,0.0771,4.2267399999999995,2.49510114,729.0
Kepler-411b,4906,0.81,0.75,3.005,0.0375,25.7418,2.3987046,1138.0
Kepler-411c,4906,0.81,0.75,7.834,0.0739,26.3774,4.4163066,838.0
Kepler-411d,4906,0.81,0.75,58.02,0.279,15.2544,3.3178343999999997,410.0
Kepler-420,5520,0.99,1.13,86.648,0.382,460.81,10.536366,511.0
Kepler-423,5560,0.85,0.95,2.684,0.03585,189.091,13.361008799999999,1605.0
Kepler-425,5170,0.93,0.86,3.797,0.0464,79.45,10.9623042,1070.0
Kepler-426,5725,0.91,0.92,3.218,0.0414,108.052,12.217701,1300.0
Kepler-427,5800,0.96,1.35,10.291,0.091,92.16199999999999,13.786947,1100.0
Kepler-428,5150,0.87,0.8,3.526,0.0433,403.606,12.105612,1070.0
Kepler-432,5020,1.32,4.06,50.501,0.301,1719.298,12.8341905,942.0
Kepler-433,6340,1.46,2.26,5.334,0.0679,896.196,16.252905,1776.0
Kepler-434,5970,1.198,1.38,12.875,0.1143,908.908,12.666056999999999,1000.0
Kepler-435,6090,1.538,3.21,8.6,0.0948,266.952,22.305711,1729.0
Kepler-492,5238,0.88,0.9,11.72,0.101,12616.660000000002,9.751743,737.0
Kepler-503,5670,1.154,1.764,7.258,0.0786,24979.079999999998,10.760544,1296.0
Kepler-538,5547,0.892,0.8717,81.738,0.4669,10.582740000000001,2.21487864,380.0
Kepler-539,5820,1.048,0.952,125.632,0.4988,308.266,8.3730483,388.0
Kepler-1514b,6145,1.196,1.289,217.832,0.753,1677.9840000000002,12.4194612,379.0
Kepler-1656,5731,1.03,1.1,31.579,0.1974,47.67,5.0215872,651.0
Kepler-1657,5830,1.01,0.96,141.242,0.534,613.354,11.096811,347.0
Kepler-1704,5772,1.131,1.697,988.881,2.026,1318.8700000000001,11.9374785,254.0
KPS-1,5165,0.892,0.907,1.706,0.0269,346.40200000000004,11.545167,1459.0
L98-59b,3412,0.273,0.303,2.253,0.02191,0.41314,0.84963462,627.0
L98-59c,3412,0.273,0.303,3.691,0.0304,2.2246,1.38542004,553.0
L98-59d,3412,0.273,0.303,7.451,0.0486,1.9385800000000002,1.5210477299999998,416.0
L168-9,3800,0.62,0.6,1.402,0.02091,4.6081,1.3899036,965.0
LHS_1140b,3096,0.1844,0.2159,24.737,0.0946,5.593280000000001,1.72953327,226.0
LHS_1140c,3096,0.1844,0.2159,3.778,0.027,1.9068,1.27221015,422.0
LHS_1478,3381,0.236,0.246,1.95,0.01848,2.31994,1.2441879,595.0
LHS_1815,3643,0.502,0.501,3.814,0.0404,4.1314,1.08838419,617.0
LHS_6343,3431,0.358,0.373,12.714,0.0797,19735.38,8.7765687,358.0
LP_714-47,3950,0.59,0.584,4.052,0.0417,30.826600000000003,4.7974092,700.0
LTT_1445Ab,3337,0.257,0.27,5.359,0.03808,2.73308,1.3394635499999998,424.0
LTT_1445Ac,3337,0.257,0.27,3.124,0.02658,1.36654,1.0995930900000002,508.0
LTT_3780b,3358,0.381,0.38,0.768,0.01195,2.44706,1.32489198,903.0
LTT_3780c,3358,0.381,0.38,12.252,0.0757,8.008560000000001,2.3874957,359.0
LTT_9779,5445,1.03,0.95,0.792,0.01679,29.301160000000003,4.7189469,1978.0
MASCARA-1,7554,1.9,2.082,2.146,0.04035,1175.8600000000001,17.9006133,2594.0
MASCARA-4,7810,1.75,1.79,2.824,0.0474,533.904,16.9814835,2250.0
NGTS-01,3916,0.617,0.573,2.647,0.0326,258.0536,14.907837,790.0
NGTS-02,6450,1.302,1.62,4.511,0.0584,212.92600000000002,17.2168704,1638.0
NGTS-05,4987,0.661,0.739,3.357,0.0382,72.7762,12.733310399999999,952.0
NGTS-06,4730,0.767,0.754,0.882,0.01677,425.5342,14.8630014,1284.0
NGTS-08,5241,0.89,0.98,2.5,0.035,295.55400000000003,12.217701,1345.0
NGTS-09,6330,1.34,1.38,4.435,0.058,921.62,11.993523,1448.0
NGTS-10,4400,0.696,0.697,0.767,0.0143,687.0836,13.5067245,1332.0
NGTS-11,5050,0.862,0.832,35.455,0.201,109.3232,9.157671299999999,435.0
NGTS-12,5690,1.021,1.589,7.533,0.0757,66.1024,11.7469272,1257.0
NGTS-13,5819,1.3,1.788,4.119,0.0549,1538.152,12.800563799999999,1605.0
NGTS-14,5187,0.898,0.842,3.536,0.0403,29.2376,4.9767516,1143.0
NGTS-15,5600,0.995,0.954,3.276,0.0441,238.6678,12.329790000000001,1146.0
NGTS-16,5550,1.002,1.21,4.845,0.0523,212.92600000000002,14.57157,1177.0
NGTS-17,5650,1.025,1.337,3.243,0.0391,241.52800000000002,13.899036,1457.0
NGTS-18,5610,1.003,1.39,3.051,0.0448,129.9802,13.562769,1381.0
NGTS-19,4716,0.807,0.896,17.84,0.1296,22087.100000000002,11.5900026,543.0
NGTS-20,5980,1.47,1.78,54.189,0.313,947.044,11.993523,688.0
NGTS-21,4660,0.72,0.86,1.543,0.0236,750.008,14.907837,1357.0
NGTS-23,6057,1.01,1.24,4.076,0.0504,194.8114,14.201676299999999,1327.0
NGTS-24,5820,1.26,1.64,3.468,0.0479,165.256,13.6076046,1499.0
NGTS-25,5321,0.91,0.86,2.823,0.0388,203.07420000000002,11.4667047,1101.0
OGLE-TR-010,6075,1.277,1.52,3.101,0.04516,216.104,19.279308,1702.0
OGLE-TR-056,6119,1.339,1.737,1.212,0.02453,448.098,19.4362326,2482.0
OGLE-TR-111,5044,0.846,0.822,4.014,0.04676,174.79000000000002,11.332197899999999,1019.0
OGLE-TR-113,4790,0.755,0.766,1.432,0.02265,390.894,12.1952832,1342.0
OGLE-TR-132,6210,1.29,1.338,1.69,0.03026,371.82599999999996,13.775738100000002,1991.0
OGLE-TR-182,5924,1.187,1.53,3.979,0.05205,336.86800000000005,16.477083,1550.0
OGLE-TR-211,6325,1.312,1.56,3.677,0.05105,238.35000000000002,14.1456318,1686.0
OGLE-TR-L9,6933,1.427,1.499,2.486,0.04047,1398.3200000000002,18.3041337,2034.0
Qatar-1,4820,0.838,0.803,1.42,0.02332,411.2332,12.8117727,1418.0
Qatar-2,4645,0.727,0.7033,1.337,0.02136,783.6948000000001,12.4979235,1285.0
Qatar-3,6009,1.145,1.272,2.508,0.03783,1369.7179999999998,12.2849544,1681.0
Qatar-4,5218,0.896,0.849,1.805,0.02803,1938.58,12.722101499999999,1385.0
Qatar-5,5746,1.128,1.076,2.879,0.04127,1372.8960000000002,12.4082523,1415.0
Qatar-6,5063,0.829,0.785,3.506,0.0423,217.05740000000003,13.047159599999999,1006.0
Qatar-7,6387,1.409,1.564,2.032,0.0352,597.4639999999999,19.05513,2053.0
Qatar-8,5738,1.029,1.315,3.715,0.0474,117.9038,14.4034365,1457.0
Qatar-9,4309,0.719,0.696,1.541,0.0234,378.182,11.3097801,1134.0
Qatar-10,6124,1.156,1.254,1.645,0.0286,233.9008,17.2953327,1955.0
TOI-125b,5320,0.859,0.848,4.654,0.05186,9.50222,2.72600448,1037.0
TOI-125c,5320,0.859,0.848,9.151,0.0814,6.64202,2.7573894,828.0
TOI-125d,5320,0.859,0.848,19.98,0.137,13.60184,2.9255229000000003,638.0
TOI-130,6203,1.126,1.194,14.339,0.12,7.7861,2.4547491,943.0
TOI-132,5397,0.97,0.9,2.11,0.026,22.786260000000002,3.4299234,1384.0
TOI-150,6029,1.249,1.551,5.857,0.0583,556.15,15.468281999999999,1493.0
TOI-157,5404,0.948,1.167,2.085,0.03138,375.004,14.4146454,1588.0
TOI-169,5880,1.147,1.288,2.255,0.03524,251.37980000000002,12.172865400000001,1715.0
TOI-172,5640,1.124,1.774,9.477,0.0913,1719.298,10.8165885,1198.0
TOI-178b,4316,0.647,0.662,1.915,0.02609,1.4936600000000002,1.14106602,1040.0
TOI-178c,4316,0.647,0.662,3.238,0.03703,4.767,1.6846976699999998,873.0
TOI-178d,4316,0.647,0.662,6.558,0.05927,3.0191,2.71703736,690.0
TOI-178e,4316,0.647,0.662,9.962,0.07833,3.84538,2.18909817,600.0
TOI-178f,4316,0.647,0.662,15.232,0.104,7.7225399999999995,2.4547491,521.0
TOI-178g,4316,0.647,0.662,20.71,0.1276,3.9407200000000002,2.90758866,470.0
TOI-181,4994,0.822,0.745,4.532,0.0539,46.080999999999996,7.1064426,895.0
TOI-201,6394,1.316,1.317,52.978,0.3,133.476,11.2985712,759.0
TOI-216b,5026,0.763,0.757,17.085,0.1293,17.60612,7.8350211,630.0
TOI-216c,5026,0.763,0.757,34.556,0.2068,166.845,10.08801,497.0
TOI-220,5298,0.825,0.858,10.695,0.0892,13.792520000000001,3.026403,805.0
TOI-244,3433,0.427,0.428,7.397,0.0559,2.66952,1.5132015,458.0
TOI-257,6096,1.394,1.883,18.388,0.1523,42.58520000000001,7.0167714,1033.0
TOI-263,3471,0.438,0.438,0.557,0.0098,19576.48,10.200099,1020.0
TOI-269,3514,0.3917,0.398,3.698,0.0345,8.80306,2.7685983,531.0
TOI-270b,3506,0.386,0.38,3.36,0.03199,1.4936600000000002,1.28005638,600.0
TOI-270c,3506,0.386,0.38,5.66,0.04529,6.1971,2.33033031,489.0
TOI-270d,3506,0.386,0.38,11.38,0.07215,4.19496,1.99966776,383.0
TOI-332,5251,0.88,0.87,0.777,0.0159,57.204,3.1945365,1871.0
TOI-421b,5325,0.852,0.871,5.197,0.0557,7.055160000000001,2.7237627,1015.0
TOI-421c,5325,0.852,0.871,16.068,0.1182,16.23958,5.1673029,697.0
TOI-431b,4850,0.78,0.731,0.49,0.0113,3.08266,1.2778146000000001,1862.0
TOI-431d,4850,0.78,0.731,12.461,0.098,9.88358,3.2954166,633.0
