parallax,phot_g_mean_mag,bp_rp
1.0958873202967456,14.447882,0.8358679
1.1417018894543072,13.718393,0.842082
1.1302185515056689,14.149156,0.78682613
1.1683915868610701,14.359411,0.968462
1.1282729308880564,12.562445,0.7126322
1.1475886193176104,12.88945,0.72583675
1.194348403694512,14.59011,0.9932718
1.1449809958548884,16.114237,1.2979603
1.0507438050297124,16.434546,1.3966732
1.2248304467667932,15.720381,1.3322945
1.1614443624856257,12.390281,0.7816067
1.1521506313290233,17.575953,1.8685951
1.1406060608614237,14.696521,0.97691536
1.1907824989748226,17.233728,1.69907
1.1463666453012733,13.986189,0.775403
1.0677617804502897,17.511879,2.0325928
1.1368382183664567,13.699181,0.75373936
1.1656130107146512,14.034807,0.7885084
1.1168651977451838,15.831147,1.1894732
1.149714131125889,14.206959,0.8261156
0.877775501165374,14.469284,0.80631447
1.2166316306640776,12.464717,0.78820705
1.052465700040304,15.542323,1.106143
1.11441650343621,14.041427,0.7936554
1.1695066387068414,16.83582,1.5429115
1.2199593471368089,17.938349,2.0626526
1.0998206019645695,13.485824,0.7329273
0.8416802163464816,17.634897,1.8657608
1.167490616534254,12.697912,1.0938492
1.172402697847742,8.858565,1.6367264
1.079417122056316,17.267056,1.7357483
1.107735394686656,15.84601,1.1741085
1.1121668026117004,14.625885,0.88911724
1.1483328705688762,15.01497,0.97100925
1.1466730185239116,16.781284,1.5057507
0.45860146900562326,16.613552,0.9146919
1.1526976505645552,16.569128,1.4343853
1.1305049514428447,15.204648,1.0021515
1.1477507819871064,14.980596,0.9520426
1.1328045243539713,14.462305,1.0001984
1.1754650006147955,12.787833,1.0106649
1.1527814260330285,15.324436,1.0352755
1.1399150776506994,12.497732,0.8481989
1.148896149245945,12.430536,0.78082085
1.1455626436653457,14.644585,0.89446545
1.1986862537454122,17.344692,1.7342033
1.1297047483040137,13.389088,0.71811676
1.1416986119937134,16.82277,1.546073
1.188203804096045,16.028463,1.2649784
1.1387764097927688,13.014684,0.74192905
1.2018841718108124,17.534235,2.013773
1.0444740440498361,16.61028,1.4506922
1.09785214298995,15.659702,1.245822
1.161483913317375,15.915327,1.1952085
1.1720334661995724,13.204584,0.71120167
1.1324341918394667,14.222943,0.8348274
1.258703940254049,17.165012,1.8044662
1.12500794803951,15.258637,1.0038767
1.122858137026619,13.524892,0.7342062
1.0988460053567968,16.365112,1.3807573
1.1862181835380194,13.75739,0.76067543
1.1587257774885587,17.647688,1.8651218
1.1776446574837185,17.33302,2.1314812
1.209819422678799,16.668568,1.4754057
1.1680926281287092,16.125412,1.297679
1.1335659170397616,16.909548,1.657444
1.315842010207829,17.458586,1.7902164
1.0896969649676833,15.567408,1.3324366
1.0824406075319744,17.302053,1.6975574
1.155422714122445,16.487295,1.4333696
1.0002432924766034,16.493284,1.6294403
1.1195722926204588,14.043963,0.81076145
1.3367509483164008,17.299242,1.7934246
1.1616089197820474,13.141925,0.76594925
1.1211968876546707,17.05594,1.6412868
1.1365107156660572,15.329233,1.0775299
1.1336576358321981,16.555809,1.4160347
1.1860312245908633,16.402733,1.3949232
1.3111384052662987,16.74895,1.5378847
0.9976815181752436,16.129448,1.3802023
1.1517035789481922,13.207407,0.73400307
1.06528142413875,17.737473,1.9120865
1.2557382439349156,17.703156,1.9006252
1.2229013743358346,17.24666,1.707386
1.1418545331876582,17.209242,1.695076
1.033868482953683,17.873466,1.9272823
1.1263390880905002,15.716153,1.1521025
1.1631822543250008,16.685137,1.4935656
1.2282111263524909,17.905495,2.248539
1.0788748852581753,16.165909,1.309001
1.116340997102261,13.82129,0.76503754
1.115480809476049,15.7027025,1.1454611
1.1916981344606936,17.611038,1.8262424
1.1695584827783538,13.780851,0.7681618
1.0313190876665568,16.358063,1.369628
1.1821101215965053,15.316563,1.0347748
1.1371465730154535,14.842712,0.9270382
1.390956602062779,17.991562,2.3231964
1.1469923387426275,13.223673,0.71833706
1.0844289606676838,17.874096,1.9317265
1.1304067764095382,13.497531,0.72711277
1.1506098304151267,13.70182,0.74299717
1.3007405965156764,17.637602,1.9982662
1.1973017147950153,16.133268,1.2875118
1.2190352300947722,15.597069,1.117343
1.2285507074238418,12.454363,0.6010361
1.116752239617244,13.580754,0.7415848
1.2096081851446305,15.153168,0.9939194
1.1957749517165586,16.77069,1.5677948
1.0147744489988708,17.551805,1.8248081
1.1354807688578596,13.519313,0.7500515
1.1831899504392334,13.127889,0.7354412
1.1580055798367657,15.813196,1.1814871
1.1485572710917131,13.405049,0.7436886
0.8867876894675151,17.34068,1.8325272
1.2413332077676296,17.581564,1.8033867
1.1416691827051262,13.381305,0.7361841
1.1345570942503178,13.277014,0.7365999
1.1812421617785736,14.855843,0.92749596
1.1917400672397604,16.32853,1.3417273
1.146247128039573,13.560265,0.74610233
1.200014111301081,15.24659,1.1060419
1.345895616816649,16.350328,1.3836918
1.19379924190674,16.799265,1.5463152
1.141229310368942,14.002153,0.79430866
1.2943679455829724,17.464241,1.8073769
1.216427701213476,14.8516245,0.93605995
1.2401260116059596,14.882329,0.9550381
1.0528238542740838,16.721853,1.5131817
1.1530946179273056,13.56774,0.74101925
1.2530670498807748,17.83423,1.9949207
1.1260073740133676,12.631922,0.7244501
1.116979133626179,15.490493,1.1290846
1.155703259110584,13.298922,0.7412176
1.12976734825351,15.073603,0.9965811
1.0929273294939044,15.253333,1.026391
1.0566674727245078,17.03083,1.8243256
1.1750824067679562,15.881221,1.3312197
1.1408635570858003,15.21902,1.0431957
1.1511949907027392,9.094762,1.483386
1.155616317210312,15.534751,1.0921993
1.1955157630400632,17.830132,1.9409256
1.2861531070652772,13.646353,0.7661152
1.22031924185358,17.51174,1.9568977
1.1086985946246954,14.535909,0.8764782
1.1468789802821828,15.466809,1.0793638
1.1061586749253636,15.495607,1.1684399
1.1905598283621697,17.50945,1.9276714
1.1283923415400154,15.816169,1.1649942
1.1485641042661476,13.459555,0.77516556
1.0692003974051065,16.71013,1.7003136
1.155151961830552,13.385247,1.2792387
0.4811664251680475,17.188974,0.9320774
1.1827862494009937,17.850863,1.883316
1.0888532300312752,15.215876,1.0156603
1.1431858133006259,14.074816,0.8246212
1.1353920199140781,12.96438,0.75546074
1.1012394187022663,15.314818,1.0363026
1.1597425525817517,13.560873,0.74447536
1.1879090612228893,17.691051,1.8508396
1.1737446440453903,14.620219,0.8855839
1.155380039750886,13.310611,0.7494755
1.1459637299655883,16.507046,1.454668
1.3347471317533188,17.94338,1.9951382
1.3306954615291955,14.791033,1.0199318
1.2837148709176047,17.738438,1.9398994
1.1148318822145746,15.526613,1.1029902
1.1439061285204002,12.728699,0.70472527
1.1429517856833493,17.799356,1.9343548
1.205087636609872,15.949997,1.1969166
1.1353895564461713,15.056689,0.9808006
1.124400367500204,14.337803,0.8302803
1.173629208139961,14.022076,0.8114033
1.1735495344219293,12.538585,0.7640152
1.169045679403406,15.46138,1.0925703
1.2377840962902789,16.645302,1.4440098
1.0521020975074011,17.88868,1.9871387
1.1974625837613577,12.646977,0.75673866
1.0080907465096915,13.41916,0.7644329
1.2218279035889534,16.23311,1.3354225
1.1409356378322533,13.618245,0.7491989
